,support,itemsets
0,0.09692576184722781,frozenset({0})
1,0.002013693113169553,frozenset({1})
2,0.005101355886696201,frozenset({2})
3,0.03772318432004296,frozenset({3})
4,0.004564371056517654,frozenset({4})
5,0.07329842931937172,frozenset({5})
6,0.028191703584373742,frozenset({6})
7,0.002684924150892737,frozenset({7})
8,0.0021479393207141898,frozenset({8})
9,0.02752047254665056,frozenset({9})
10,0.005906833131964022,frozenset({10})
11,0.0024164317358034634,frozenset({11})
12,0.002819170358437374,frozenset({12})
13,0.015035575244999329,frozenset({13})
14,0.006309571754597933,frozenset({14})
15,0.027654718754195194,frozenset({15})
16,0.0291314270371862,frozenset({16})
17,0.01543831386763324,frozenset({17})
18,0.014767082829910055,frozenset({18})
19,0.008054772452678213,frozenset({19})
20,0.011813666263928045,frozenset({20})
21,0.008726003490401396,frozenset({21})
22,0.017317760773258157,frozenset({22})
23,0.00469861726406229,frozenset({23})
24,0.0041616324338837425,frozenset({24})
25,0.008323264867767485,frozenset({25})
26,0.05195328231977447,frozenset({26})
27,0.014364344207276145,frozenset({27})
28,0.0012082158679017317,frozenset({28})
29,0.10417505705463821,frozenset({29})
30,0.004832863471606927,frozenset({30})
31,0.01664652973553497,frozenset({31})
32,0.00644381796214257,frozenset({32})
33,0.010873942811115585,frozenset({33})
34,0.015169821452543966,frozenset({34})
35,0.005772586924419385,frozenset({35})
36,0.005772586924419385,frozenset({36})
37,0.01449859041482078,frozenset({37})
38,0.045509464357631896,frozenset({38})
39,0.005504094509330111,frozenset({39})
40,0.003758893811249832,frozenset({40})
41,0.00469861726406229,frozenset({42})
42,0.008457511075312122,frozenset({43})
43,0.03195059739562357,frozenset({44})
44,0.03557524499932877,frozenset({45})
45,0.007383541414955027,frozenset({46})
46,0.0873942811115586,frozenset({47})
47,0.013827359377097597,frozenset({48})
48,0.056249160961202846,frozenset({49})
49,0.002282185528258827,frozenset({50})
50,0.04644918781044435,frozenset({51})
51,0.0178547456034367,frozenset({52})
52,0.014095851792186871,frozenset({53})
53,0.027117733924016646,frozenset({54})
54,0.004967109679151564,frozenset({55})
55,0.03275607464089139,frozenset({56})
56,0.007920526245133576,frozenset({57})
57,0.0013424620754463685,frozenset({58})
58,0.02778896496173983,frozenset({59})
59,0.0025506779433481005,frozenset({60})
60,0.004967109679151564,frozenset({61})
61,0.005235602094240838,frozenset({62})
62,0.016378037320445696,frozenset({63})
63,0.007920526245133576,frozenset({64})
64,0.002953416565982011,frozenset({65})
65,0.030473889112632567,frozenset({66})
66,0.019331453886427707,frozenset({67})
67,0.020405423546784804,frozenset({68})
68,0.0014767082829910056,"frozenset({0, 3})"
69,0.00644381796214257,"frozenset({0, 5})"
70,0.0006712310377231843,"frozenset({0, 6})"
71,0.0016109544905356424,"frozenset({0, 9})"
72,0.0005369848301785474,"frozenset({0, 12})"
73,0.0008054772452678212,"frozenset({0, 13})"
74,0.0014767082829910056,"frozenset({0, 15})"
75,0.0021479393207141898,"frozenset({0, 16})"
76,0.0006712310377231843,"frozenset({0, 17})"
77,0.0008054772452678212,"frozenset({0, 21})"
78,0.0005369848301785474,"frozenset({0, 24})"
79,0.0008054772452678212,"frozenset({0, 25})"
80,0.004027386226339106,"frozenset({0, 26})"
81,0.002013693113169553,"frozenset({0, 27})"
82,0.00939723452812458,"frozenset({0, 29})"
83,0.0006712310377231843,"frozenset({0, 31})"
84,0.0006712310377231843,"frozenset({0, 32})"
85,0.0006712310377231843,"frozenset({0, 34})"
86,0.0006712310377231843,"frozenset({0, 37})"
87,0.001879446905624916,"frozenset({0, 38})"
88,0.0005369848301785474,"frozenset({0, 42})"
89,0.0006712310377231843,"frozenset({0, 43})"
90,0.0010739696603570949,"frozenset({0, 44})"
91,0.0014767082829910056,"frozenset({0, 45})"
92,0.002953416565982011,"frozenset({0, 47})"
93,0.001879446905624916,"frozenset({0, 49})"
94,0.0013424620754463685,"frozenset({0, 51})"
95,0.0013424620754463685,"frozenset({0, 54})"
96,0.0017452006980802793,"frozenset({0, 56})"
97,0.0006712310377231843,"frozenset({0, 57})"
98,0.0008054772452678212,"frozenset({0, 62})"
